index,성분명,임부금기(등급),비고,허가사항,,,,,,,,,,,,,,,
259,Ganciclovir,2등급,,"동물실험에서 태자 발육지연, 배자치사, 최기형성(형성부전기관(신장 및 췌장), 수두증 및 하악단소증 등) 및/또는 모체 독성 보고.",,,,,,,,,,,,,,,
260,Ganirelix,1등급,,"임부에 대한 안전성 미확립.
보조생식술을 실시할 경우 선천성기형 발생 가능성이 자연 임신에 비해서 높을 수 있음.
동물실험에서 태자흡수 보고.",,,,,,,,,,,,,,,
261,Gatifloxacin,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 태반무게와 태자 체중감소, 골화지연과 파형늑골 증가, 유산 발생 및 출산자수 등(출생자수, 출생률, 4일째 생존율)의 감소 보고.",,,,,,,,,,,,,,,
262,Gefitinib,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 태자 체중감소, 생존 태자수 감소 및 출생자 조기 사망 보고.",,,,,,,,,,,,,,,
263,Gemcitabine,2등급,,동물실험에서 최기형작용 및 태자 치사 작용 보고.,,,,,,,,,,,,,,,
264,Gemfibrozil,2등급,,"동물실험에서 종양발생 보고.
태아독성 유발 가능성.",,,,,,,,,,,,,,,
265,Gemifloxacin,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 태자 성장지연, 모체독성 및 태자에서 뇌/안구기형(편측성 소안구증, 무안구증, 둥근 형태의 머리) 보고.",,,,,,,,,,,,,,,
266,Gemigliptin,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 태반통과 보고.",,,,,,,,,,,,,,,
267,Gentamicin,2등급,"이식제, 점안제 포함","(주사)
신생아에 제8뇌신경장애(특히 비가역적 선천성 난청) 가능성.
(이식)
임부에 대한 안전성 미확립.
태반을 통과하여 치명적인 위해 가능성.",,,,,,,,,,,,,,,
268,Gestrinone,2등급,,동물실험에서 고용량 투여시 태자독성 보고.,,,,,,,,,,,,,,,
269,Glatiramer,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
270,Glibenclamide,2등급,,"신생아에서 저혈당 또는 거대아 확인.
동물실험에서 기형발생 작용 보고.",,,,,,,,,,,,,,,
271,Gliclazide,2등급,,신생아에서 저혈당 또는 거대아 확인.,,,,,,,,,,,,,,,
272,Glimepiride,2등급,,"동물실험에서 고용량 투여시 상완골의 단축, 비후, 굴곡의 골격기형 보고.",,,,,,,,,,,,,,,
273,Glipizide,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
274,Glucametacin,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
275,Golimumab,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 태반통과 보고.",,,,,,,,,,,,,,,
276,Goserelin,"2등급
(폐경전  유방암환자)
1등급
(자궁내막증/자궁내막축소증 환자)",,"유산 또는 태아 이상의 위험(이론).
동물실험에서 착상전 임신 실패로 인한 배태아독성 보고.",,,,,,,,,,,,,,,
277,Griseofulvin,2등급,,"유산, 기형아 출산 보고.
동물실험에서 태자독성, 기형발생 보고.",,,,,,,,,,,,,,,
278,Haloperidol,2등급,,"기형 발생 의심증례 보고.
임신말기나 분만중 투여시 신생아에서 기면, 진전, 과흥분성 나타날 수 있음.
임신 3기에 복용시 신생아에서 추체외로장애, 금단증상(초조, 근육긴장항진 또는 저하, 진전 등) 보고.",,,,,,,,,,,,,,,
279,"Heptaplatin
=Eptaplatin",2등급,,"동물실험에서 최기형성(내장, 골격기형 및 변이 등) 및 태자 사망수 증가 등 보고.",,,,,,,,,,,,,,,
280,Hydralazine,2등급,,"동물실험에서 기형발생 보고.
신생자에서 혈소판감소 가능성.",,,,,,,,,,,,,,,
281,Hydrocortisone,2등급,,"동물실험에서 기형발생 작용 보고.
태아의 성장지체, 언청이의 위험 등의 증가, 뇌성장 및 발달에 영향 가능성. 신생아에 부신부전증 유발 가능성.",,,,,,,,,,,,,,,
282,Hydroxychloroquine,"2등급
(말라리아 치료시 제외)",,"유사화합물인 인산클로로퀸의 고용량 투여시 와우각손상 보고.
아미노퀴놀린 화합물의 이독성(청각, 전정독성, 선천성 귀머거리)을 포함한 중추신경계 손상, 망막출혈과 비정상적 망막색소와의 관련 보고.",,,,,,,,,,,,,,,
283,Hydroxyprogesterone,"1등급
(다만 황체기능부전에 의한 불임치료, 황체호르몬 부족으로 인한 유·조산 치료시 제외)",,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
284,Hydroxyurea,2등급,,"임부에 대한 안전성 미확립.
동물시험에서 기형유발 보고.",,,,,,,,,,,,,,,
285,Hydroxyzine,2등급,,"신생아에서 근육긴장저하, 추체외로장애를 포함한 운동이상, 간대성운동, 중추신경계억제, 신생아저산소증, 뇨저류 등 보고.
동물실험에서 생식독성 보고.",,,,,,,,,,,,,,,
286,Ibandronic acid,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 생식독성 관찰됨.",,,,,,,,,,,,,,,
287,Ibritumomab,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
288,Ibuprofen,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.",,,,,,,,,,,,,,,
289,Idarubicin,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 기형발생 및 태자독성 보고.",,,,,,,,,,,,,,,
290,Ifosfamide,2등급,,동물실험에서 유전독성 보고.,,,,,,,,,,,,,,,
291,Iguratimod,2등급,,"IgG 항체는 태반 통과, 임신 중에 이 항체를 투여 받은 환자에서 태어난 영아의 정상면역반응에 영향을 미쳐 최대 6개월까지 감염 위험 증가 가능성.",,,,,,,,,,,,,,,
292,Ilaprazole,2등급,,동물실험에서 태자독성 보고.,,,,,,,,,,,,,,,
293,Iloprost,2등급,흡입제 포함,"임부에 대한 안전성 미확립.
동물실험에서 골격이형(불완전 골화와 앞발의 짧은 발가락) 및 태자배아흡착 증가 보고.",,,,,,,,,,,,,,,
294,Imatinib,2등급,,"임부에 대한 안전성 미확립.
동물시험에서 최기형성(뇌탈출, 뇌헤르니아 등) 및 태아소실 보고.",,,,,,,,,,,,,,,
295,Imidafenacin,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 태아로의 이행 보고.",,,,,,,,,,,,,,,
296,Imidapril,2등급,,"임신 중기 및 말기에 ACE 저해제 투여시 양수과소증, 태아 및 신생아 사망, 신생아 저혈압, 신부전, 고칼륨혈증, 두개형성부진, 양수과소증에 의한 것으로 추측되는 사지의 구축, 두개안면변형 가능성.",,,,,,,,,,,,,,,
297,Imidazole salicylate ,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
298,Imipramine,2등급,,동물실험에서 최대 임상노출보다는 낮은 정도의 전신노출수준(AUC)에서 생식독성 나타냄. 임신말기에 복용시 신생아 중단증후군 발생 가능성.,,,,,,,,,,,,,,,
299,Inamrinone,2등급,,"동물실험에서 태자의 골격이상 및 외형이상 보고.
생식시험에서 임신기간 다소 연장, 분만장애, 사산증가, 동복자 크기 감소, 생존율 감소 보고.",,,,,,,,,,,,,,,
300,Indacaterol,2등급,흡입제 포함,"임부에 대한 안전성 미확립. 
동물실험에서 한 개의 특정 골격변이 건수 증가와 관련된 생식독성 보고.",,,,,,,,,,,,,,,
301,Indomethacin,2등급,,"(경구)
임신말기에 투여시 태아순환지속증, 태아의 동맥관수축, 동맥관개존증, 양수과소/과다증, 태아 신부전, 태아장천공 및 조기출산한 신생아에서 괴사성 장염 보고.
동물실험에서 기형, 난산발생 증가, 분만지연, 태자 생존율 감소 보고.
(주사)
동물실험에서 임신기 마지막 3일간 투여시 모체와 태자 사망, 출생자에서는 간뇌 신경괴사의 발생빈도 증가 및 임신 3기에 투여시 출생자의 폐혈관수 감소, 폐혈관근육 과도생성 보고.",,,,,,,,,,,,,,,
303,Insulin degludec,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
304,Insulin degludec/Insulin aspart,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
306,Insulin glargine,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
307,Insulin glulisine,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
309,Interferon beta-1a,2등급,,자연유산 위험 증가 보고.,,,,,,,,,,,,,,,
310,Interferon beta-1b,2등급,,"대조임상시험에서 자연유산 보고.
동물실험에서 배아독성, 고용량에서 유산 증가 보고.",,,,,,,,,,,,,,,
311,Interleukin-2(=aldesleukin),2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
312,Ipragliflozin,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 신우 및 신세뇨관의 확장 보고.",,,,,,,,,,,,,,,
313,Irbesartan,2등급,,임신 2기 및 3기에 ACE 저해제 투여시 태아 위해 및 사망 보고.,,,,,,,,,,,,,,,
314,Irinotecan,2등급,,"임부에 대한 안전성 미확립.
동물시험에서 최기형성(외표이상, 내장기형 및 골격기형 등) 및 착상후 손실 증가와 생존 태자수 감소의 독성 보고.",,,,,,,,,,,,,,,
315,Isoflurane,2등급,흡입제 포함,동물실험에서 과량투여시 배아독성 가능성 보고.,,,,,,,,,,,,,,,
316,Unoprostone,2등급,점안제 포함,"임부에 대한 안전성 미확립.
동물실험에서 고용량 투여시 유조산 증가경향 보고.",,,,,,,,,,,,,,,
317,Isosorbide Dinitrate,2등급,흡입제 포함,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
318,Isosorbide Mononitrate,2등급,,-,,,,,,,,,,,,,,,
319,Isotretinoin,"1등급(경구)
2등급(외용)",,"(경구)
최기형성이 높음.
(외용)
전신 투여시 기형발생 작용과 관련됨.",,,,,,,,,,,,,,,
320,Isradipine,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
321,Itraconazole,"2등급
",,"임부에 대한 안전성 미확립.
동물실험에서 고용량 투여시 태자 기형발생 증가, 배자독성 유발됨.",,,,,,,,,,,,,,,
322,Ivabradine,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 배태자독성 및 최기형성 효과 나타남.",,,,,,,,,,,,,,,
323,Ixabepilone,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 모체 독성(사망) 및 배태자 독성(배자 사망) 보고.",,,,,,,,,,,,,,,
324,Kanamycin,2등급,,신생아에 제8뇌신경장애 가능성.,,,,,,,,,,,,,,,
325,Ketoconazole,2등급,,"동물실험에서 고용량 투여시 기형발생(합지증, 핍지증) 보고.
임신 첫 3분기에 노출된 태아에서 사지결손 보고.",,,,,,,,,,,,,,,
326,Ketoprofen,2등급,,"임부에 대한 안전성 미확립.
임신 후기에 투여시 태아순환지속증과 태아 신부전 발생 보고 및 출혈시간 연장 가능성.
임신 말기에 투여시 태아 동맥관조기폐쇄 가능성.
동물실험에서 동맥혈관수축, 심폐와 신장독성 발생, 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
327,Ketorolac,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
328,Lacidipine,2등급,,"임부에 대한 안전성 미확립.
동물 실험에서 고용량 투여시 착상 전후의 유실이나 골화지연 보고.",,,,,,,,,,,,,,,
329,Lacosamide,2등급,,"임부에 대한 안전성 미확립. 
동물실험에서 모체 독성량에서 배아독성 보고.",,,,,,,,,,,,,,,
330,Lamotrigine,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 골격연화, 늑골장애, 태아 체중감소, 임신기간 연장, 새끼 수 감소, 사산, 수유기동안 새끼의 생존율 감소 보고.",,,,,,,,,,,,,,,
331,Lanreotide,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
332,Lapatinib,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 고용량 투여시 출생자 조기사망 보고.",,,,,,,,,,,,,,,
333,L-Asparaginase,2등급,,동물실험에서 최기형 작용 보고.,,,,,,,,,,,,,,,
334,Leflunomide,1등급,,동물실험에서 태아 사망 및 최기형성 효과 유발 보고.,,,,,,,,,,,,,,,
335,Lenalidomide,1등급,,"임부에 대한 안전성 미확립.
동물실험에서 사지기형 및 배태아독성 보고.",,,,,,,,,,,,,,,
336,Lercanidipine,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 고용량 투여시 태자 사망률 증가, 태자 체중감소, 내장이상(신우 및 뇨관 확장) 및 설골의 불완전환 골화증가, 신생자의 사망률 증가 등 보고.",,,,,,,,,,,,,,,
337,Letrozole,1등급,,"임부에 대한 안전성 미확립.
동물실험에서 태자 기형발생 증가 보고.",,,,,,,,,,,,,,,
338,"Leuprorelin 
=Leuprolide acetate","2등급
(폐경전  유방암환자)
1등급
(자궁내막증/자궁내막축소증 환자)",,"임부에 대한 안전성 미확립.
동물실험에서 최고용량 투여시 태자 사망률 증가 및 태자 체중감소 보고.",,,,,,,,,,,,,,,
339,Levetiracetam,2등급,,"임부에 투여시 최기형성 위험을 완전히 배제할 수 없음.
동물실험에서 생식독성(인체 치료용량과 유사하거나 그 이상의 용량에서 태아 골격이상, 태아기형 발현률 증가) 보고.",,,,,,,,,,,,,,,
340,Levodopa,2등급,장내겔제 포함,"동물실험에서 내장, 골격기형 발생 보고.",,,,,,,,,,,,,,,
341,Levofloxacin,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
342,Levomepromazine,2등급,,"동물실험에서 태자독성(대량 투여시 태자사망 등) 보고. 페노티아진계(클로르프로마진) 투여시 신생아 진전 보고.
임신 3기에 투여시 신생아에게 추체외로장애, 금단증상 보고.",,,,,,,,,,,,,,,
343,Levonorgestrel,1등급,자궁내시스템 포함,"(자궁내시스템)
유산 및 조기분만의 위험성 증가. 태아의 남성화 효과 가능성.",,,,,,,,,,,,,,,
344,Limaprost,1등급,,"임부에 대한 안전성 미확립.
동물실험에서 자궁수축 작용 보고.",,,,,,,,,,,,,,,
345,Linagliptin,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
346,Liraglutide,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 생식독성 보고.",,,,,,,,,,,,,,,
347,Lisinopril,2등급,,"임신 제2 및 3기에 ACE 저해제 투여시 태아 및 신생아에 저혈압, 고칼륨혈증, 신생아 두골형성부전, 양수과소증(태아사지경축, 두개안면변형, 폐발육형성부전과 관련), 무뇨, 신부전 및 사망 가능성.
임신 제1기에 임부에 대한 안전성 미확립.",,,,,,,,,,,,,,,
348,Lithium carbonate,2등급,,"동물실험에서 기형발생, 사람에서 심장기형의 발현빈도 증가 보고.",,,,,,,,,,,,,,,
349,Lixisenatide,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 생식독성 보고.",,,,,,,,,,,,,,,
350,Lobeglitazone,2등급,,"임부에 대한 안전성 미확립. 
동물실험에서 고용량 투여시 배자독성(태자 사망수, 착상후 배자 사망률 증가, 태자 체중감소 등), 심장중량 증가, 형태분화지연 보고.",,,,,,,,,,,,,,,
351,Lomefloxacin,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
352,Lonazolac,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
353,Lorazepam,2등급,,"벤조디아제핀계 약물의 최기형성 사례(대조군에 비해 높음), 신생아 포유곤란, 근긴장저하, 졸음, 황달 증가 및 분만전 연용시 신생아 금단증상(신경과민, 진전, 과다긴장 등) 보고.",,,,,,,,,,,,,,,
354,Lornoxicam,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
355,Losartan,2등급,,"임신 제 2~3기에 ACE 저해제 투여시 태아와 신생아의 저혈압, 고칼륨혈증, 신생아 두개골발육부전, 무뇨증, 신부전, 자궁내 성장지체, 양수과소증(사지구축, 두개안면기형, 폐발육부전과 관련) 및 사망 등 보고.
임신 1기에 투여시 출생결함의 잠재적 위험과 관련됨.",,,,,,,,,,,,,,,
356,Loteprednol,2등급,점안제 포함,"동물실험에서 모체독성을 유발하지 않는 용량에서 배독성(골화지연)과 최기형성(수막류, 비정상적 좌총경동맥, 사지 굴곡의 발현 증가) 보고, 모체독성 투여요법에서 최기형성(배꼽 탈장)과 배독성(태아 출생 체중감소) 보고.",,,,,,,,,,,,,,,
357,Lovastatin,1등급,,태아 발육에 필수적인 콜레스테롤의 생합성 감소 가능성.,,,,,,,,,,,,,,,
358,Loxoprofen,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
359,Magnesium salicylate,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 동맥관수축, 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
360,Manidipine,2등급,,동물실험에서 임신기간 및 분만시간지연 보고.,,,,,,,,,,,,,,,
361,Mebendazole,2등급,,동물실험에서 기형발생 보고.,,,,,,,,,,,,,,,
362,Meclofenamic acid,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 임신기간지연, 분만장애, 이유기의 성장장애, 난산발생빈도 증가, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
363,Medroxyprogesterone,"1등급
(항암치료 제외)
2등급
(항암치료)",,생식기 이상(여성 태아의 외부생식기 남성화 및 남성태아의 요도하열) 및 기형(선천성 심장결함 및 수족감소결함 등) 가능성 보고.,,,,,,,,,,,,,,,
364,Mefenamic acid,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아순환지속증 발생 보고 및 태아의 동맥관조기폐쇄 가능성.
동물실험에서 난산발생빈도 증가, 분만지연, 태아 생존율 감소, 동맥관수축 보고.",,,,,,,,,,,,,,,
365,Mefloquine,"2등급
(말라리아 치료시 제외)",,"동물실험에서 고용량 투여시 기형형성, 태자독성 나타남.",,,,,,,,,,,,,,,
366,Megestrol,"2등급
(정제:항암치료시)
1등급
(현탁액:암 또는 AIDS 환자의 식욕부진, 악액질 또는 원인불명의 현저한 체중감소의 치료)",,"(정제) 
임신 초기 4개월동안 투여시 기형아 출산 가능성(태아의 수족기형현상 4.7배 높게 보고됨).
(현탁액)
임부 투여시 태아에 치명적인 위해 가능성.
동물실험에서 수컷 새끼의 번식능력 손상, 태자의 체중감소, 생존출생 태자수의 감소, 수컷 태자의 여성화 등 보고.",,,,,,,,,,,,,,,
367,Meloxicam,2등급,,"임신 초기 사용시 유산, 심장기형, 배벽갈림증 위험 증가.
임신 말기 사용시 심폐독성, 신기능장애, 출혈시간 연장, 항응집 효과, 자궁수축 억제 가능성.
동물실험에서 착상 전후 손실, 배태자 사망률 및 기형발생 증가 보고.",,,,,,,,,,,,,,,
368,Melphalan,2등급,,"알킬화제의 기형유발 의심 증례보고.
동물실험에서 태자치사 및 기형유발(뇌의 변형(발육부전, 기형, 수막탈출증, 뇌탈출증) 및 눈의 변형(무안구증, 소안구증), 하악골과 꼬리축소, 간낭종 등) 보고.",,,,,,,,,,,,,,,
369,Menotrophin,1등급,,-,,,,,,,,,,,,,,,
370,Mercaptopurine,2등급,,"유조산 및 다른 화학요법제와 병용투여시 복합적인 선천성이상 보고.
동물실험에서 배아치사 및 중증의 최기형성 작용 유발 보고.",,,,,,,,,,,,,,,
371,Metformin,2등급,,-,,,,,,,,,,,,,,,
372,Methacycline,2등급,,"태자에 일과성 골발육부전, 영구적 치아착색, 법랑질형성부전 보고.
동물실험에서 태자독성(주로 골격발달지연과 관련) 및 배자독성 보고.",,,,,,,,,,,,,,,
373,Methimazole,2등급,,"임부에 대한 안전성 미확립. 태아에 갑상선종, 갑상선기능억제를 일으킬 수 있음. 임신 초기(14주) 및 고용량 투여 시 선천성 피부 무형성, 두개안면 기형(후비공 폐쇄; 안면기형), 배꼽탈장, 식도폐쇄증, 배꼽창자간막관 기형, 심실사이막결손이 보고됨. 임신 가능성이 있는 여성은 치료기간 동안 효과적으로 피임해야 함.",,,,,,,,,,,,,,,
374,Methotrexate,"1등급
(류마티스성 관절염 및 건선치료)
2등급
(항암치료)",,"난자형성 또는 정자발생 이상, 일시적 정자부족증, 월경기능장애, 불임증 및 임신 1기에 투여시 유산, 태아사망, 선천기형 보고.",,,,,,,,,,,,,,,
375,Methylene blue,1등급,,"임부에 대한 안전성 미확립.
양막공간 노출시, 신생아에서 용혈성빈혈과 고빌리루빈혈증 발생 보고.",,,,,,,,,,,,,,,
376,Methylergometrine,1등급,,"자궁수축 작용으로 인한 자궁내 태아에 대한 악영향, 유산 가능성.",,,,,,,,,,,,,,,
377,Methylprednisolone,2등급,,"(정제) 동물실험에서 기형발생 작용 보고.
태아의 성장지체, 언청이의 위험 등의 증가, 뇌성장 및 발달에 영향 가능성. 신생아에 부신부전증 유발 가능성.
(주사제) 태반 통과함. 사람에서 임신 중 코르티코이드를 반복적으로 투여 시, 태아 발달 지연(출생시 체중, 신장, 머리둘레 감소 등)의 위험성이 증가하였음. 신생아에 부신부전증 가능성. 동물실험에서 태아의 성장지체, 언청이의 위험 등의 증가, 뇌성장 및 발달에 영향을 포함한 기형발생이 보고됨. ",,,,,,,,,,,,,,,
378,Metoprolol,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
379,Mexazolam,2등급,,"벤조디아제핀계 약물의 최기형성 사례(대조군에 비해 높음), 신생아 포유곤란, 근긴장저하, 졸음, 황달 증가 및 분만전 연용시 신생아 금단증상(신경과민, 진전, 과다긴장 등) 보고.",,,,,,,,,,,,,,,
380,Micronized macitentan,1등급,,"임부에 대한 안전성 미확립.
선천성 결함 가능성.
동물실험에서 최기형성 보고.",,,,,,,,,,,,,,,
381,Midazolam,2등급,,"벤조디아제핀계 약물의 최기형성 사례(대조군에 비해 높음), 신생아 포유곤란, 근긴장저하, 졸음, 황달 증가 및 분만전 연용시 신생아 금단증상(신경과민, 진전, 과다긴장 등) 보고.",,,,,,,,,,,,,,,
382,Miglustat,1등급,,"임부에 대한 안전성 미확립.
동물실험에서 생식독성 보고.",,,,,,,,,,,,,,,
383,Minocycline,2등급,,"태자에 일과성 골발육부전, 영구적 치아착색, 법랑질형성부전 보고.
동물실험에서 태자독성(주로 골격발달지연과 관련) 및 배자독성 보고.",,,,,,,,,,,,,,,
384,Minoxidil,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
385,Mirabegron,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 생식독성(고용량에서 심장기형, 폐기형, 착상 후 유산 및 가역적 골화이상) 보고.",,,,,,,,,,,,,,,
386,Misoprostol,1등급,,"비정상적 자궁수축, 양수색전증, 자궁내 태아사망, 완전 또는 불완전유산, 조산, 잔류태반, 자궁천공, 자궁파열 보고. 
임신 첫 삼분기에 노출 시 기형 위험이 대조군에 비해 3배 증가. 이 약에 태아가 노출되면 뫼비우스 증후군(사지 결손 유무와 관계없이, 선천성 안면 마비로 인한 표정감소, 빨기, 연하 및 눈의 움직임 어려움), 양막띠 증후군(사지기형, 절단, 특히 만곡족, 지부족증, 손결여증, 구개열 등) 및 중추신경계 이상(무뇌증, 뇌수종, 소뇌저형성, 신경관 결함과 같은 대뇌 및 두개골 이상) 보고.",,,,,,,,,,,,,,,
387,Mitiglinide,2등급,,동물실험에서 태반 통과 확인 및 저혈당으로 인한 모체 사망사례 보고.,,,,,,,,,,,,,,,
388,Mitomycin C,1등급,,동물실험에서 기형발생 보고.,,,,,,,,,,,,,,,
389,Mitotane,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
390,Mitoxantrone,2등급,,"임부에 대한 안전성 미확립. 
기형유발 가능성.",,,,,,,,,,,,,,,
391,Mizoribine,2등급,,동물실험에서 기형발생 보고.,,,,,,,,,,,,,,,
392,Modafinil,2등급,,동물실험에서 생식독성 보고.,,,,,,,,,,,,,,,
393,Moexipril,2등급,,"임신 제2 및 3기에 ACE저해제 투여시 양수과소증, 태아 및 신생아 사망, 신생아의 저혈압, 신부전, 고칼륨혈증, 두개형성부전, 양수과소증에 의한 것으로 추정되는 사지의 경축, 두개단면변형, 폐형성부전 및 자궁내 성장지연 등 보고.",,,,,,,,,,,,,,,
394,Molindone,2등급,,"임부에 대한 안전성 미확립. 
임신 3기에 투여시 신생아에서 추체외로장애, 금단증상(초조, 근육긴장항진 또는 저하, 진전 등) 보고.",,,,,,,,,,,,,,,
395,Morniflumate ,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
396,Morphine ,2등급,,"동물실험에서 고용량 투여시 저산소증으로 인한 기형 유발, 새끼의 사망률 및 발달장애 증가 보고.
신생아에서 마약금단증상(신경과민, 과도한 움직임, 울음, 불면, 떨림, 발열 등) 가능성. 출산/분만 중 투여시 신생아 호흡억제 유발 가능성.",,,,,,,,,,,,,,,
397,Moxifloxacin,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 골격기형, 유산 증가, 태자 무게감소, 출생전 사망 증가, 임신기간 연장 등 보고.",,,,,,,,,,,,,,,
398,Moxonidine,2등급,,"동물실험에서 태자의 체중감소와 출생율 감소, 이유기까지의 생존율 감소 및 신체발육지연 보고.",,,,,,,,,,,,,,,
399,Mycophenolate ,2등급,,"임신중 복용시 유산 위험 및 선천성기형(얼굴기형, 원위성 사지, 심장, 식도, 신장기형 등) 위험 증가.",,,,,,,,,,,,,,,
400,Nabumetone,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
401,Nadolol,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 대량 투여시 태자사망, 유산 보고.",,,,,,,,,,,,,,,
402,Nafamostat,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 대량투여시 태아 사망률 증가 및 체중증가 억제, 분만율 저하 보고.",,,,,,,,,,,,,,,
403,Nalbuphine,2등급,,"임부에 대한 안전성 미확립.
분만시 신생아의 호흡억제 가능성.",,,,,,,,,,,,,,,
404,Nalidixic acid,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
405,Nandrolone,1등급,,여성 태아의 남성화 가능성.,,,,,,,,,,,,,,,
406,Naproxen,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 난산발생빈도 증가, 분만지연, 태아 생존율 감소, 동맥관수축 보고.",,,,,,,,,,,,,,,
407,Naratriptan,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
408,Nateglinide,2등급,,"동물실험에서 내장기관 기형(흉선의경부잔류, 담낭결손) 발생, 초기유산 및 태자사망 증가 관찰. 신생자의 체중증가 억제, 사산자 및 신생자 사망 증가 경향 보고.",,,,,,,,,,,,,,,
