Drug Name,Category,Classification Level 1,Classification Level 2,Classification Level 3,,,,,,,,,,,,,,
ciclesonide,B3,Endocrine System,Corticosteroids,Inhalation/intranasal,,,,,,,,,,,,,,
ciclesonide,B3,Respiratory System,Inhalational agents,Preventative aerosols and inhalations,,,,,,,,,,,,,,
ciclopirox,B3,Antimicrobials,Antifungal agents (see also topical antifungals),,,,,,,,,,,,,,,
ciclosporin,C,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
cidofovir,D,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
cilazapril,D,Cardiovascular System,Antihypertensives,Angiotensin converting enzyme (ACE) inhibitors,,,,,,,,,,,,,,
cilostazol,B3,Cardiovascular System,Vasodilators,,,,,,,,,,,,,,,
cimetidine,B1,Alimentary System,"Hyperacidity, reflux, ulcers",,,,,,,,,,,,,,,
cinacalcet,B3,Endocrine System,Agents affecting calcium and bone metabolism,,,,,,,,,,,,,,,
cinchocaine,A,Drugs Used in Anaesthesia,Local anaesthetics,,,,,,,,,,,,,,,
ciprofloxacin,B3,Antimicrobials,Antibiotics,Quinolones,,,,,,,,,,,,,,
cisapride,B1,Alimentary System,"Hyperacidity, reflux, ulcers",,,,,,,,,,,,,,,
cisatracurium besilate,C,Drugs Used in Anaesthesia,Neuromuscular blocking agents,,,,,,,,,,,,,,,
cisplatin,D,Antineoplastic Agents,,,,,,,,,,,,,,,,
citalopram,C,Central Nervous System,Antidepressants,Selective serotonin reuptake inhibitors (SSRIs),,,,,,,,,,,,,,
cladribine,D,Antineoplastic Agents,Antimetabolites,,,,,,,,,,,,,,,
clarithromycin,B3,Antimicrobials,Antibiotics,Macrolide antibiotics,,,,,,,,,,,,,,
clavulanic acid,B1,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
clemastine,A,Allergy and Immune System,Antihistamines,,,,,,,,,,,,,,,
clevidipine,C,Cardiovascular System,Antihypertensives,Calcium channel blockers,,,,,,,,,,,,,,
clindamycin,A,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
clindamycin,A,Genitourinary System,Topical vaginal medication,,,,,,,,,,,,,,,
clindamycin / tretinoin,D,Drugs Used in Dermatology,Topical,,,,,,,,,,,,,,,
clioquinol,A,Antimicrobials,,,,,,,,,,,,,,,,
clobazam,C,Central Nervous System,Benzodiazepines,,,,,,,,,,,,,,,
clodronate,B3,Endocrine System,Agents affecting calcium and bone metabolism,Bisphosphonates,,,,,,,,,,,,,,
clofarabine,D,Antineoplastic Agents,Antimetabolites,,,,,,,,,,,,,,,
clofazimine,C,Antimicrobials,Antituberculotics and antileprotics,,,,,,,,,,,,,,,
clofibrate,B1,Cardiovascular System,Hypolipidaemic agents,,,,,,,,,,,,,,,
clomifene,B3,Endocrine System,Ovulation inducers,Gonadotrophins,,,,,,,,,,,,,,
clomipramine,C,Central Nervous System,Antidepressants,Tricyclic antidepressants,,,,,,,,,,,,,,
clonazepam,B3,Central Nervous System,Anticonvulsants/antiepileptics,,,,,,,,,,,,,,,
clonazepam,B3,Central Nervous System,Benzodiazepines,,,,,,,,,,,,,,,
clonidine,B3,Cardiovascular System,Antihypertensives,,,,,,,,,,,,,,,
clopamide,C,Cardiovascular System,Diuretics,"Thiazides, related diuretics and loop diuretics",,,,,,,,,,,,,,
clopidogrel,B1,Cardiovascular System,Anticoagulants and thrombolytic agents,,,,,,,,,,,,,,,
clopidogrel / aspirin,C,Cardiovascular System,Anticoagulants and thrombolytic agents,,,,,,,,,,,,,,,
clorazepate,C,Central Nervous System,Benzodiazepines,,,,,,,,,,,,,,,
clotrimazole,A,Drugs used in Dermatology,"Topical antifungals, antiseptics (see also antifungal agents)",,,,,,,,,,,,,,,
clotrimazole,A,Genitourinary System,Topical vaginal medication,,,,,,,,,,,,,,,
cloxacillin,A,Antimicrobials,Antibiotics,Penicillins,,,,,,,,,,,,,,
clozapine,C,Central Nervous System,Antipsychotic drugs,,,,,,,,,,,,,,,
cobicistat,B1,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
cobimetinib fumarate,D,Antineoplastic Agents,,,,,,,,,,,,,,,,
codeine,A,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics,,,,,,,,,,,,,,
codeine,A,Respiratory System,Antitussives,,,,,,,,,,,,,,,
colaspase (asparaginase),D,Antineoplastic Agents,Antimetabolites,,,,,,,,,,,,,,,
colchicine,D,Musculoskeletal System,Agents used in gout and hyperuricaemia,,,,,,,,,,,,,,,
colestipol,B2,Cardiovascular System,Hypolipidaemic agents,,,,,,,,,,,,,,,
colestyramine,B2,Cardiovascular System,Hypolipidaemic agents,,,,,,,,,,,,,,,
colistimethate,B2,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
colistin IV with colistimethate,B2,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
collagenase clostridium histolyticum,B1,Musculoskeletal System,Muscle relaxants,,,,,,,,,,,,,,,
conjugated estrogens,D,Endocrine System,Oestrogens (see also oral contraceptives),,,,,,,,,,,,,,,
corifollitropin alfa,B3,Endocrine System,Ovulation inducers,Gonadotrophins,,,,,,,,,,,,,,
corticotrophin,A,Endocrine System,Pituitary hormones,,,,,,,,,,,,,,,
cortisone,A,Endocrine System,Corticosteroids,Systemic,,,,,,,,,,,,,,
COVID-19 Vaccine - ChAdOx1-S,B2,Vaccines,,,,,,,,,,,,,,,,
COVID-19 Vaccine - BNT162b2 (mRNA),B1,Vaccines,,,,,,,,,,,,,,,,
crisaborole,B1,Drugs Used in Dermatology,Topical,,,,,,,,,,,,,,,
crizotinib,D,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
crotamiton,B2,Drugs used in Dermatology,Topical antiparasitics,,,,,,,,,,,,,,,
cyclizine,B3,Allergy and Immune System,Antihistamines,,,,,,,,,,,,,,,
cyclopenthiazide,C,Cardiovascular System,Diuretics,"Thiazides, related diuretics and loop diuretics",,,,,,,,,,,,,,
cyclopentolate,B2,Ophthalmic Drugs,,,,,,,,,,,,,,,,
cyclophosphamide,D,Antineoplastic Agents,Alkylating agents,,,,,,,,,,,,,,,
cyproheptadine,A,Allergy and Immune System,Antihistamines,,,,,,,,,,,,,,,
cyproterone acetate (10 mg daily or higher PO),D,Endocrine System,Antiandrogens,,,,,,,,,,,,,,,
cyproterone acetate (2 mg daily PO),B3,Endocrine System,Antiandrogens,,,,,,,,,,,,,,,
cysteamine bitartrate (mercaptamine bitartrate),B3,Metabolism,Agents used for the treatment of metabolic disorders,,,,,,,,,,,,,,,
cytarabine,D,Antineoplastic Agents,Antimetabolites,,,,,,,,,,,,,,,
dabigatran etexilate,C,Cardiovascular System,Anticoagulants and thrombolytic agents,,,,,,,,,,,,,,,
dabrafenib mesilate,D,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
dacarbazine,D,Antineoplastic Agents,Alkylating agents,,,,,,,,,,,,,,,
daclatasvir,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
daclizumab,C,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
dactinomycin,D,Antineoplastic Agents,Antibiotic cytotoxic agents,,,,,,,,,,,,,,,
dalfopristin with quinupristin,B3,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
dalteparin,C,Cardiovascular System,Anticoagulants and thrombolytic agents,,,,,,,,,,,,,,,
danaparoid,C,Cardiovascular System,Anticoagulants and thrombolytic agents,,,,,,,,,,,,,,,
danazol,D,Endocrine System,Pituitary inhibitors,,,,,,,,,,,,,,,
dantrolene,B2,Musculoskeletal System,Muscle relaxants,,,,,,,,,,,,,,,
dapagliflozin,D,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
dapagliflozin / saxagliptin,D,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
dapagliflozin /metformin,D,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
dapoxetine,C,Central Nervous System,Antidepressants,Selective serotonin reuptake inhibitors (SSRIs),,,,,,,,,,,,,,
dapsone,B2,Antimicrobials,Antituberculotics and antileprotics,,,,,,,,,,,,,,,
daptomycin,B1,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
daratumumab,C,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
darbepoetin alfa,B3,Blood and Haemopoietic System,Haemopoietic agents,,,,,,,,,,,,,,,
darifenacin,B3,Genitourinary System,Prostate hyperplasia,,,,,,,,,,,,,,,
darolutamide,X,Antineoplastic Agents,Hormonal antineoplastic agents,,,,,,,,,,,,,,,
darunavir,B2,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
dasatinib,D,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
daunorubicin,D,Antineoplastic Agents,Antibiotic cytotoxic agents,,,,,,,,,,,,,,,
deferasirox,C,"Detoxifying Agents, Antidotes",,,,,,,,,,,,,,,,
deferiprone,D,"Detoxifying Agents, Antidotes",,,,,,,,,,,,,,,,
defibrotide,D,Blood and Haemopoietic System,,,,,,,,,,,,,,,,
degarelix,D,Antineoplastic Agents,Hormonal antineoplastic agents,,,,,,,,,,,,,,,
delavirdine,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
demeclocycline,D,Antimicrobials,Antibiotics,Tetracyclines,,,,,,,,,,,,,,
denosumab,D,Endocrine System,Agents affecting calcium and bone metabolism,,,,,,,,,,,,,,,
desferrioxamine,B3,"Detoxifying Agents, Antidotes",,,,,,,,,,,,,,,,
desflurane,B3,Drugs Used in Anaesthesia,General anaesthetics,,,,,,,,,,,,,,,
desipramine,C,Central Nervous System,Antidepressants,Tricyclic antidepressants,,,,,,,,,,,,,,
desirudin,B3,Cardiovascular System,Anticoagulants and thrombolytic agents,,,,,,,,,,,,,,,
desloratadine,B1,Allergy and Immune System,Antihistamines,,,,,,,,,,,,,,,
desmopressin,B1,Endocrine System,Antidiuretics,,,,,,,,,,,,,,,
desogestrel with ethinylestradiol,B3,Contraceptive Agents,Oral contraceptives,,,,,,,,,,,,,,,
desonide,B3,Drugs used in Dermatology,Topical,,,,,,,,,,,,,,,
desvenlafaxine,B2,Central Nervous System,Antidepressants,,,,,,,,,,,,,,,
dexamethasone,A,Endocrine System,Corticosteroids,Systemic,,,,,,,,,,,,,,
dexamfetamine,B3,Central Nervous System,CNS stimulants,,,,,,,,,,,,,,,
dexchlorphenamine,A,Allergy and Immune System,Antihistamines,,,,,,,,,,,,,,,
dexfenfluramine,B3,Metabolism,Anorectic and weight reducing agents,,,,,,,,,,,,,,,
dexmedetomidine,B1,Central Nervous System,Hypnotics and sedatives,,,,,,,,,,,,,,,
dextromethorphan,A,Respiratory System,Antitussives,,,,,,,,,,,,,,,
dextromoramide,C,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics,,,,,,,,,,,,,,
dextropropoxyphene,C,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics,,,,,,,,,,,,,,
diazepam,C,Central Nervous System,Benzodiazepines,,,,,,,,,,,,,,,
diazoxide,C,Cardiovascular System,Antihypertensives,,,,,,,,,,,,,,,
diclofenac,C,Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),,,,,,,,,,,,,,,
dicloxacillin,B2,Antimicrobials,Antibiotics,Penicillins,,,,,,,,,,,,,,
dicyclomine hydrochloride,B1,Alimentary System,Laxatives,,,,,,,,,,,,,,,
didanosine,B2,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
dienoestrol,X,Endocrine System,Oestrogens (see also oral contraceptives),,,,,,,,,,,,,,,
dienogest with ethinylestradiol,B3,Contraceptive Agents,Oral contraceptives,,,,,,,,,,,,,,,
dienosliterol,B1,Genitourinary System,Topical vaginal medication,,,,,,,,,,,,,,,
diethylcarbamazine,B2,Antimicrobials,Anthelmintics,,,,,,,,,,,,,,,
diethylpropion,B2,Metabolism,Anorectic and weight reducing agents,,,,,,,,,,,,,,,
diflunisal,C,Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),,,,,,,,,,,,,,,
digoxin and other cardiac glycosides,A,Cardiovascular System,Cardiac inotropic agents,,,,,,,,,,,,,,,
digoxin immune fab,B2,"Detoxifying Agents, Antidotes",,,,,,,,,,,,,,,,
digoxin-specific antibody fragment F(Ab) (Ovine),B2,"Detoxifying Agents, Antidotes",,,,,,,,,,,,,,,,
dihydrocodeine,A,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics,,,,,,,,,,,,,,
dihydrocodeine,A,Respiratory System,Antitussives,,,,,,,,,,,,,,,
dihydroergotamine,C,Cardiovascular System,Antimigraine preparations,,,,,,,,,,,,,,,
dihydrotachysterol,B3,Endocrine System,Agents affecting calcium and bone metabolism,,,,,,,,,,,,,,,
diltiazem,C,Cardiovascular System,Antihypertensives,Calcium channel blockers,,,,,,,,,,,,,,
dimenhydrinate,A,Central Nervous System,"Antiemetics, antinauseants",,,,,,,,,,,,,,,
dimethyl fumarate,B1,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
dinoprost,C,Genitourinary System,Agents acting on the uterus,,,,,,,,,,,,,,,
dinoprostone (prostaglandin E2),C,Genitourinary System,Agents acting on the uterus,,,,,,,,,,,,,,,
dinutuximab beta,C,Antineoplastic Agents,Monoclonal antibodies,,,,,,,,,,,,,,,
diphenhydramine,A,Allergy and Immune System,Antihistamines,,,,,,,,,,,,,,,
diphenhydramine,A,Central Nervous System,"Antiemetics, antinauseants",,,,,,,,,,,,,,,
diphenoxylate,C,Alimentary System,Antidiarrhoeals,,,,,,,,,,,,,,,
diphenylamine,A,Allergy and Immune System,Antihistamines,,,,,,,,,,,,,,,
diphenylpyraline,B2,Allergy and Immune System,Antihistamines,,,,,,,,,,,,,,,
diphtheria-tetanus vaccine,A,Vaccines,Killed vaccines,,,,,,,,,,,,,,,
diphtheria-tetanus-pertussis vaccine,A,Vaccines,Killed vaccines,,,,,,,,,,,,,,,
diphtheria-tetanus-pertussis-hepatitis B- inactivated poliomyelitis-Haemophilus influenzae type b conjugate vaccine,B2,Vaccines,Killed vaccines,,,,,,,,,,,,,,,
diphtheria-tetanus-pertussis-hepatitis B- inactivated poliomyelitis-Haemophilus influenzae type b vaccine,B1 or B2 (depending on brand of vaccine),Vaccines,Killed vaccines,,,,,,,,,,,,,,,
diphtheria-tetanus-pertussis-inactivated poliomyelitis vaccine,B2,Vaccines,Killed vaccines,,,,,,,,,,,,,,,
dipivefrine,B2,Ophthalmic Drugs,,,,,,,,,,,,,,,,
dipyridamole,B1,Cardiovascular System,Vasodilators,,,,,,,,,,,,,,,
disopyramide,B2,Cardiovascular System,Antiarrhythmics,,,,,,,,,,,,,,,
disulfiram,B2,Agents used in dependency states,,,,,,,,,,,,,,,,
dithranol,B2,Drugs used in Dermatology,Topical,,,,,,,,,,,,,,,
dobutamine,B2,Cardiovascular System,Adrenergic stimulants,,,,,,,,,,,,,,,
docetaxel,D,Antineoplastic Agents,Antimetabolites,,,,,,,,,,,,,,,
docusate sodium,A,Alimentary System,Laxatives,,,,,,,,,,,,,,,
dofetilide,D,Cardiovascular System,Antiarrhythmics,,,,,,,,,,,,,,,
dolasetron,B1,Central Nervous System,"Antiemetics, antinauseants",,,,,,,,,,,,,,,
dolutegravir,B1,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
dolutegravir / abacavir / lamivudine,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
domperidone,B2,Central Nervous System,"Antiemetics, antinauseants",,,,,,,,,,,,,,,
donepezil,B3,Cholinergic and Anticholinergic Agents,,,,,,,,,,,,,,,,
dopamine,B3,Cardiovascular System,Adrenergic stimulants,,,,,,,,,,,,,,,
doripenem,B2,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
dornase alfa,B1,Respiratory System,,,,,,,,,,,,,,,,
dorzolamide,B3,Ophthalmic Drugs,,,,,,,,,,,,,,,,
dorzolamide / timolol,C,Ophthalmic Drugs,,,,,,,,,,,,,,,,
dosulepin,C,Central Nervous System,Antidepressants,Tricyclic antidepressants,,,,,,,,,,,,,,
dothiepin (dosulepin),C,Central Nervous System,Antidepressants,Tricyclic antidepressants,,,,,,,,,,,,,,
doxazosin,B3,Cardiovascular System,Antihypertensives,,,,,,,,,,,,,,,
doxepin,C,Central Nervous System,Antidepressants,Tricyclic antidepressants,,,,,,,,,,,,,,
doxorubicin,D,Antineoplastic Agents,Antibiotic cytotoxic agents,,,,,,,,,,,,,,,
doxycycline,D,Antimicrobials,Antibiotics,Tetracyclines,,,,,,,,,,,,,,
doxycycline (antimalarial),D,Antimicrobials,Antimalarials,,,,,,,,,,,,,,,
doxylamine,A,Allergy and Immune System,Antihistamines,,,,,,,,,,,,,,,
dronedarone,D,Cardiovascular System,Antiarrhythmics,,,,,,,,,,,,,,,
droperidol,C,Central Nervous System,Antipsychotic drugs,Butyrophenones,,,,,,,,,,,,,,
drospirenone with ethinylestradiol,B3,Contraceptive Agents,Oral contraceptives,,,,,,,,,,,,,,,
drotrecogin alfa,C,Cardiovascular System,Haemostatic agents,,,,,,,,,,,,,,,
dulaglutide,B3,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
duloxetine,B3,Central Nervous System,Antidepressants,Selective serotonin reuptake inhibitors (SSRIs),,,,,,,,,,,,,,
dupilumab,B1,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
durvalumab,D,Antineoplastic Agents,Monoclonal antibodies,,,,,,,,,,,,,,,
dutasteride,X,Genitourinary System,Prostate hyperplasia,,,,,,,,,,,,,,,
dydrogesterone with estradiol,B3,Endocrine System,Progestogens (see also oral contraceptives),,,,,,,,,,,,,,,
econazole,A,Drugs used in Dermatology,"Topical antifungals, antiseptics (see also antifungal agents)",,,,,,,,,,,,,,,
econazole,A,Genitourinary System,Topical vaginal medication,,,,,,,,,,,,,,,
ecothiopate,B2,Ophthalmic Drugs,,,,,,,,,,,,,,,,
eculizumab,B2,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
efalizumab,C,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
efavirenz,D,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
eflornithine,B3,Drugs used in Dermatology,Topical,,,,,,,,,,,,,,,
eformoterol (formoterol),B3,Respiratory System,Inhalational agents,Bronchospasm relaxants,,,,,,,,,,,,,,
efraloctocog alfa (rhu),C,Cardiovascular System,Haemostatic agents,,,,,,,,,,,,,,,
eftrenonacog alfa (rhu),C,Cardiovascular System,Haemostatic agents,,,,,,,,,,,,,,,
elbasvir / grazoprevir,B1,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
eletriptan,B1,Cardiovascular System,Antimigraine preparations,,,,,,,,,,,,,,,
eliglustat,B3,Metabolism,Agents used for the treatment of metabolic disorders,,,,,,,,,,,,,,,
elosulfase alfa (rch),B3,Metabolism,Agents used for the treatment of metabolic disorders,,,,,,,,,,,,,,,
elotuzumab,C,Antineoplastic Agents,Monoclonal antibodies,,,,,,,,,,,,,,,
eltrombopag,B3,Blood and Haemopoietic System,Haemopoietic agents,,,,,,,,,,,,,,,
elvitegravir,B2,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
elvitegravir / cobicistat / emtricitabine / tenofovir alafenamide,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
emetine,A,Respiratory System,Expectorants and mucolytics,,,,,,,,,,,,,,,
emicizumab,B2,Cardiovascular System,Haemostatic agents,,,,,,,,,,,,,,,
empagliflozin,D,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
empagliflozin / linagliptin,D,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
empagliflozin / metformin,D,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
emtricitabine,B1,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
emtricitabine / ripilvirine / tenofovir alafenamide,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
emtricitabine / tenofovir alafenamide,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
emtricitabine / tenofovir disoproxil fumarate,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
emtricitabine / tenofovir disoproxil fumarate / rilpivirine,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
emtricitabine / tenofovir disoproxil maleate,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
enalapril,D,Cardiovascular System,Antihypertensives,Angiotensin converting enzyme (ACE) inhibitors,,,,,,,,,,,,,,
enasidenib,D,Antineoplastic Agents,,,,,,,,,,,,,,,,
encorafenib,D,Antineoplastic Agents,,,,,,,,,,,,,,,,
enflurane,A,Drugs Used in Anaesthesia,General anaesthetics,,,,,,,,,,,,,,,
enfuvirtide,B2,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
enoxacin,B3,Antimicrobials,Antibiotics,Quinolones,,,,,,,,,,,,,,
enoxaparin,C,Cardiovascular System,Anticoagulants and thrombolytic agents,,,,,,,,,,,,,,,
entacapone,B3,Central Nervous System,Antiparkinson agents,,,,,,,,,,,,,,,
entecavir,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
entrectinib,D,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
enzalutamide,X,Antineoplastic Agents,Hormonal antineoplastic agents,,,,,,,,,,,,,,,
ephedrine,A,Cardiovascular System,Adrenergic stimulants,,,,,,,,,,,,,,,
ephedrine,A,Respiratory System,Inhalational agents,Bronchospasm relaxants,,,,,,,,,,,,,,
epirubicin,D,Antineoplastic Agents,Antibiotic cytotoxic agents,,,,,,,,,,,,,,,
eplerenone,B3,Cardiovascular System,Diuretics,,,,,,,,,,,,,,,
epoetin alfa,B3,Blood and Haemopoietic System,Haemopoietic agents,,,,,,,,,,,,,,,
epoetin beta (rch),B3,Blood and Haemopoietic System,Haemopoietic agents,,,,,,,,,,,,,,,
epoetin lambda (rch),B3,Blood and Haemopoietic System,Haemopoietic agents,,,,,,,,,,,,,,,
epoprostenol,B1,Cardiovascular System,Vasodilators,,,,,,,,,,,,,,,
eprosartan,D,Cardiovascular System,Antihypertensives,Angiotensin II receptor antagonists and renin inhibitors,,,,,,,,,,,,,,
eptacog alfa (activated Factor VII - rch),B1,Cardiovascular System,Haemostatic agents,,,,,,,,,,,,,,,
eptifibatide,C,Cardiovascular System,Anticoagulants and thrombolytic agents,,,,,,,,,,,,,,,
eptotermin alfa,D,Musculoskeletal System,Osteogenic agents,,,,,,,,,,,,,,,
erenumab,B1,Cardiovascular System,Antimigraine preparations,,,,,,,,,,,,,,,
ergometrine,C,Genitourinary System,Agents acting on the uterus,,,,,,,,,,,,,,,
ergotamine,C,Cardiovascular System,Antimigraine preparations,,,,,,,,,,,,,,,
eribulin,D,Antineoplastic Agents,,,,,,,,,,,,,,,,
erlotinib,C,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
ertapenem,B3,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
ertugliflozin pyroglutamic acid,D,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
ertugliflozin pyroglutamic acid; Metformin hydrochloride,D,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
ertugliflozin pyroglutamic acid; sitagliptin phosphate monohydrate,D,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
erythromycin,A,Antimicrobials,Antibiotics,Macrolide antibiotics,,,,,,,,,,,,,,
erythropoietin,B3,Blood and Haemopoietic System,Haemopoietic agents,,,,,,,,,,,,,,,
escitalopram,C,Central Nervous System,Antidepressants,Selective serotonin reuptake inhibitors (SSRIs),,,,,,,,,,,,,,
esmolol,C,Cardiovascular System,Beta-adrenergic blocking agents,,,,,,,,,,,,,,,
esomeprazole,B3,Alimentary System,"Hyperacidity, reflux, ulcers",,,,,,,,,,,,,,,
estradiol,B3,Endocrine System,Oestrogens (see also oral contraceptives),,,,,,,,,,,,,,,
estramustine,D,Antineoplastic Agents,Alkylating agents,,,,,,,,,,,,,,,
estriol,B1,Endocrine System,Oestrogens (see also oral contraceptives),,,,,,,,,,,,,,,
estropipate,B1,Endocrine System,Oestrogens (see also oral contraceptives),,,,,,,,,,,,,,,
etacrynic acid,C,Cardiovascular System,Diuretics,"Thiazides, related diuretics and loop diuretics",,,,,,,,,,,,,,
etanercept,D,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
ethambutol,A,Antimicrobials,Antituberculotics and antileprotics,,,,,,,,,,,,,,,
ethinylestradiol,B3,Endocrine System,Oestrogens (see also oral contraceptives),,,,,,,,,,,,,,,
ethosuximide,D,Central Nervous System,Anticonvulsants/antiepileptics,,,,,,,,,,,,,,,
etidocaine,B1,Drugs Used in Anaesthesia,Local anaesthetics,,,,,,,,,,,,,,,
etidronate disodium,B3,Endocrine System,Agents affecting calcium and bone metabolism,,,,,,,,,,,,,,,
etonogestrel,B3,Contraceptive Agents,,,,,,,,,,,,,,,,
etoposide,D,Antineoplastic Agents,,,,,,,,,,,,,,,,
etoricoxib,C,Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),,,,,,,,,,,,,,,
etravirine,B1,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
etretinate,X,Drugs used in Dermatology,Systemic,,,,,,,,,,,,,,,
everolimus,C,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
evolocumab (rch),B1,Cardiovascular System,Hypolipidaemic agents,,,,,,,,,,,,,,,
exemestane,C,Antineoplastic Agents,Hormonal antineoplastic agents,,,,,,,,,,,,,,,
exenatide,C,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
ezetimibe,B3,Cardiovascular System,Hypolipidaemic agents,,,,,,,,,,,,,,,
factor IX (human),C,Cardiovascular System,Haemostatic agents,,,,,,,,,,,,,,,
factor IX (r CHO),B2,Cardiovascular System,Haemostatic agents,,,,,,,,,,,,,,,
famciclovir,B1,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
famotidine,B1,Alimentary System,"Hyperacidity, reflux, ulcers",,,,,,,,,,,,,,,
fampridine,C,Central Nervous System,,,,,,,,,,,,,,,,
felodipine,C,Cardiovascular System,Antihypertensives,Calcium channel blockers,,,,,,,,,,,,,,
fenfluramine,B2,Metabolism,Anorectic and weight reducing agents,,,,,,,,,,,,,,,
fenofibrate,B3,Cardiovascular System,Hypolipidaemic agents,,,,,,,,,,,,,,,
fenoterol,A,Cardiovascular System,Adrenergic stimulants,,,,,,,,,,,,,,,
fenoterol,A,Respiratory System,Inhalational agents,Bronchospasm relaxants,,,,,,,,,,,,,,
fentanyl,C,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics,,,,,,,,,,,,,,
fentanyl / ropivacaine,C,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal and anti-inflammatory agents),,,,,,,,,,,,,,,
ferric carboxymaltose,B3,Blood and Haemopoietic System,,,,,,,,,,,,,,,,
ferucarbotran,B1,Diagnostic Agents,Radiographic agents,,,,,,,,,,,,,,,
fexofenadine,B2,Allergy and Immune System,Antihistamines,,,,,,,,,,,,,,,
fibrin,B2,Cardiovascular System,Haemostatic agents,,,,,,,,,,,,,,,
fibrinogen,B2,Cardiovascular System,Haemostatic agents,,,,,,,,,,,,,,,
fibronectin,B2,Cardiovascular System,Haemostatic agents,,,,,,,,,,,,,,,
fidaxomicin,B1,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
